t_s,Thot_FGM,Tcold_FGM,Thot_BI,Tcold_BI,sigVM_max_FGM,sigVM_max_BI,delta_FGM_um,delta_BI_um
0.81,687.935650409828,616.454318544966,743.028775773614,616.080875016434,179.22711473119,220.167648324445,524.138619663473,136.695704514475
0.82,689.372522341955,616.8286789055,745.246235576621,616.455379724387,179.519994755051,221.357164229338,546.128203376728,163.710929988738
0.83,690.813226035646,617.205476661462,747.468741181645,616.832359283102,179.818018868106,222.550242015675,568.168227218114,190.777527335513
0.84,692.257660385894,617.584666924205,749.69618085762,617.21176606258,180.121079114762,223.74681256131,590.257521842829,217.894555472057
0.85,693.705726304738,617.966205612502,751.928445085935,617.59355333436,180.429069456598,224.946807918938,612.39494123333,245.061091797582
0.86,695.157326684057,618.350049438093,754.165426518709,617.977675254427,180.741885740057,226.150161295504,634.57936227394,272.276231851375
0.87,696.612366358985,618.736155891428,756.407019937869,618.364086846484,181.059425664429,227.356807031825,656.809684331086,299.539088976915
0.88,698.070752071911,619.12448322772,758.653122214886,618.752743985541,181.381588750634,228.566680582761,679.084828843012,326.848793990903
0.89,699.532392437152,619.514990453195,760.903632271279,619.143603381805,181.708276310228,229.779718497536,701.403738914592,354.204494859116
0.9,700.997197906182,619.907637311702,763.158451039832,619.536622564892,182.039391415103,230.995858400604,723.765378918702,381.605356377174
0.91,702.465080733456,620.302384271465,765.417481426446,619.931759868345,182.374838867478,232.215038972625,746.16873410492,409.050559856315
0.92,703.935954942866,620.699192512107,767.680628272738,620.328974414445,182.714525170544,233.437199932015,768.612810215829,436.539302814384
0.93,705.409736294715,621.098023911989,769.947798319282,620.728226099334,183.058358499452,234.662282016622,791.096633106471,464.070798673681
0.94,706.886342253284,621.498841035645,772.218900169488,621.129475578382,183.406248672791,235.890226965808,813.619248373681,491.644276461597
0.95,708.365691954963,621.901607121546,774.49384425416,621.532684251883,183.758107124545,237.120977502883,836.179720989645,519.258980517328
0.96,709.847706176962,622.306286070097,776.77254279668,621.937814250994,184.11384687644,238.354477317706,858.777134942711,546.914170203763
0.97,711.33230730648,622.712842431795,779.054909778808,622.344828423965,184.473382510788,239.590671049761,881.410592882054,574.609119623718
0.98,712.819419310509,623.1212413956,781.340860907087,622.753690322613,184.836630143701,240.829504271339,904.079215771844,602.343117341079
0.99,714.30896770609,623.5314487776,783.630313579898,623.164364189078,185.203507398826,242.070923471208,926.782142548543,630.115466107017
1,715.800879531134,623.943431009767,785.92318685507,623.576814942826,185.573933381406,243.314876038373,949.518529785234,657.925482589956
1.01,717.04477133129,624.357149184989,787.858274570638,623.991006691151,186.516346911005,244.426261515949,970.427796154176,683.632658661241
1.02,718.182880096325,624.772502680054,789.571985438683,624.406884830579,187.584122783887,245.41177470463,989.39769645849,706.800748018364
1.03,719.260973973587,625.189206693271,791.135358684151,624.824320607121,188.667981985398,246.31327180021,1006.80365632148,727.747473751837
1.04,720.294788880068,625.606710718998,792.583013698666,625.243040628733,189.73977342472,247.154036652124,1022.90900753927,746.763710227177
1.05,721.292396715168,626.024230581559,793.937707700989,625.662590880295,190.789939708745,247.947750105745,1037.91830798228,764.107780538194
1.06,722.258790582288,626.440853204947,795.215833379811,626.082353753832,191.815356182793,248.703219054122,1051.99670479072,780.005915130556
1.07,723.197417292177,626.855645971992,796.429665260958,626.501600583298,192.815485086422,249.426541216901,1065.2794328249,794.654567772443
1.08,724.11082840426,627.267735075954,797.588603782793,626.919553536635,193.790871056209,250.122163338322,1077.87778877401,808.223232369623
1.09,725.001003892217,627.676348307521,798.699969181371,627.335439402053,194.74248418843,250.79345050561,1089.88353444127,820.857369050064
1.1,725.86953230714,628.080830920631,799.769542082299,627.748528509688,195.671419338424,251.443019965126,1101.37239701149,832.681275523491
1.11,726.717720034334,628.480644916385,800.801944523316,628.15815877892,196.578758977269,252.072950987211,1112.40693141302,843.800806015746
1.12,727.546662181091,628.875359666907,801.800914580848,628.563747742448,197.465514685418,252.684924219437,1123.03887944575,854.305876926592
1.13,728.357291140593,629.264638933584,802.769507710627,628.964795971149,198.332606972207,253.28031821227,1133.31111488758,864.272727166256
1.14,729.150411351702,629.648227152545,803.710246490845,629.360884897902,199.180863441854,253.86027849103,1143.259244367,873.765923290353
1.15,729.926725057162,630.025936454632,804.625233419729,629.751671330781,200.011025207952,254.425768246966,1152.91292220101,882.840115056283
1.16,730.686851911551,630.397635062945,805.516236878241,630.136880268246,200.823756455313,254.977606290675,1162.29692842209,891.541556771136
1.17,731.431344213735,630.763237260343,806.384757350013,630.516297085241,201.619654629101,255.516495933657,1171.43205146154,899.909415101457
1.18,732.160698919559,631.122694890351,807.232078941366,630.889759758613,202.399260074773,256.043047265923,1180.33581020189,907.976886220055
1.19,732.875367219764,631.475990251313,808.059309831183,631.257151522506,203.163064645785,256.557794538646,1189.02304422912,915.77214531637
1.2,733.575762237643,631.823130206679,808.867414293829,631.618394157738,203.911519146294,257.061209863081,1197.50639613682,923.319150428546
1.21,734.262265251273,632.164141331882,809.657238240705,631.973441999865,204.645039644662,257.553714100349,1205.79670550337,930.638320799627
1.22,734.93523074469,632.499065931541,810.429529728968,632.322276676651,205.364012766621,258.035685584408,1213.90333067637,937.747107905096
1.23,735.594990521734,632.827958780438,811.18495552662,632.664902542516,206.068800100232,258.507467155662,1221.83441156815,944.660475164765
1.24,736.241857065111,633.150884462454,811.924114562404,633.001342754423,206.759741846312,258.96937186587,1229.59708428307,951.391300302958
1.25,736.876126285301,633.467915201453,812.647548896092,633.331635923683,207.437159835293,259.421687628899,1237.19765641799,957.950712388858
1.26,737.498079774631,633.779129095825,813.355752702384,633.65583327545,208.101360017933,259.86468102925,1244.64175025999,964.348373891891
1.27,738.107986659313,634.084608683326,814.049179653792,633.973996250267,208.752634521285,260.298600453401,1251.93441978799,970.59271652537
1.28,738.70610512424,634.384439776094,814.728249006685,634.286194486615,209.391263346597,260.723678673208,1259.08024629319,976.691138342275
1.29,739.292683671248,634.678710516284,815.393350632113,634.592504129566,210.017515773506,261.140134984372,1266.08341655454,982.650168367338
